dimension,workgroup-size,performance
512,4,2782
512,8,2469
512,16,2983
512,32,4082
512,64,4772
512,128,6807
1024,4,9789
1024,8,6157
1024,16,7849
1024,32,8157
1024,64,10011
1024,128,12801
1792,4,21879
1792,8,14938
1792,16,16696
1792,32,23197
1792,56,27164
1792,64,24811
1792,112,28654
1792,128,31378
2048,4,29610
2048,8,19595
2048,16,22115
2048,32,28831
2048,64,34046
2048,128,42005
3584,4,84270
3584,8,56862
3584,16,79461
3584,32,75639
3584,56,82709
3584,64,78713
3584,112,81072
3584,128,89130
