dimension,workgroup-size,performance
512,4,7999
512,8,5826
512,16,4608
512,32,5833
512,64,9568
512,128,24766
1024,4,22634
1024,8,14974
1024,16,13153
1024,32,10148
1024,64,13816
1024,128,27200
2048,4,139672
2048,8,88041
2048,16,65053
2048,32,41876
2048,64,33408
2048,128,36204
